ID | Name | Kanji | Class | Utility | Cost
---------------------------------------------------------
01 | Chōchin-obake | 提灯お化け | Sensor | Flashlight / True Sight: Reveals hidden Goetic sigils. | Constant supply of lamp oil.
02 | Shirime | 尻目 | Sensor | Rear-View Sensor: Prevents back-attacks/ambushes. | A "prank" performed on a neutral NPC.
03 | Satori | 覚 | Sensor | Interrogation: Detects lies during questioning. | Temporary Sanity/MP drain.
04 | Mokumokuren | 目目連 | Sensor | Room Scanner: Sees everyone inside a building. | Must be used in a room with windows.
05 | Yosuzume | 夜雀 | Sensor | Proximity Alarm: Chirps near Goetic entities. | Small offerings of grain/seed.
06 | Ungaikyō | 雲外鏡 | Sensor | Remote Viewing: A live CCTV feed of a distant room. | Requires a silver-backed mirror focus.
07 | Baku | 獏 | Sensor | Dream Forensics: Extracts memories from the sleeping. | Player loses 1 "Positive Memory" (buff).
08 | Yamabiko | 山彦 | Sensor | Sonic Echo: Eavesdrop through thick walls. | Must shout a specific vocal command.
09 | Tenjo-name | 天井舐 | Sensor | Ceiling Scout: Reveals attic traps or hidden items. | Room must be in total darkness.
10 | Hiderigami | 魃 | Sensor | Thermal Tracker: Detects "Cold Spots" (Death/Ghost). | Drains player hydration/water items.
11 | Amabie | アマビエ | Sensor | Event Forecast: Predicts upcoming world "Symptoms." | Draw and share the Amabie’s likeness.
12 | Ao-andō | 青行燈 | Sensor | Ghost Summoner: Forces spirits to manifest. | Tells a "Scary Story" (Time skip).
13 | Inugami | 犬神 | Sensor | Bloodhound: Tracks targets via DNA/Scent. | A drop of the Player's own blood.
14 | Enenra | 煙々羅 | Stealth | Smoke Form: Drift through keyholes and vents. | Only works near an active fire/hearth.
15 | Nurikabe | ぬりかべ | Stealth | Exit Blocker: Traps a suspect in a dead-end. | Player must remain stationary.
16 | Kamaitachi | 鎌鼬 | Stealth | Lock Breaker: Silently slices bolts/chains. | High Wind-Essence cost.
17 | Ittan-momen | 一反木綿 | Stealth | Glider / Capture: Aerial mobility or a straitjacket. | Must be "washed" at a shrine after use.
18 | Nurarihyon | ぬらりひょん | Stealth | Social Stealth: NPCs ignore your presence. | A high-quality meal or tea offering.
19 | Noppera-bō | のっぺら坊 | Stealth | Identity Theft: Copy the face of a nearby NPC. | Player cannot speak for the duration.
20 | Kasa-obake | 傘お化け | Stealth | Rain Shield: Blocks "Pestilence" acid rain. | Occupies the "Off-Hand" equipment slot.
21 | Takaonna | 高女 | Stealth | Verticality: Peer into 2nd-story windows. | Strains physical stamina/health.
22 | Sunakake-baba | 砂かけ婆 | Stealth | Blindness: Stuns guards with spiritual sand. | Requires a pouch of "Sacred Sand."
23 | Akaname | 垢嘗 | Stealth | Evidence Eraser: Cleans blood/fingerprints. | Requires a "dirty" crime scene to summon.
24 | Kodama | 木霊 | Stealth | Forest Path: Teleport between old-growth trees. | Cannot be used in concrete/urban zones.
25 | Betobeto-san | べとべとさん | Stealth | Distraction: Phantom footsteps lead guards away. | Player must politely "step aside" to trigger.
26 | Kameosa | 瓶長 | Utility | Item Duplicator: Temporary infinite small items. | Requires a liquid catalyst (Water/Sake).
27 | Zashiki-warashi | 座敷童子 | Utility | Loot Booster: Better clues/items found in-base. | Must be "housed" in the Player's HQ.
28 | Kappa | 河童 | Utility | Medic: Heals broken bones and physical injury. | A fresh cucumber or local water source.
